Element	MassNumber	N100Hdef
He	4	1.90E-04
C	12	1.84E-01
C	13	7.26E-07
N	14	6.49E-05
N	15	1.55E-07
O	16	3.07E-01
O	17	8.33E-06
O	18	3.28E-07
F	19	3.16E-09
Ne	20	6.26E-02
Ne	21	1.20E-05
Ne	22	8.47E-03
Na	23	1.06E-03
Mg	24	3.23E-02
Mg	25	1.14E-03
Mg	26	1.69E-03
Al	27	4.05E-03
Si	28	9.45E-02
Si	29	1.76E-03
Si	30	2.55E-03
P	31	6.50E-04
S	32	2.99E-02
S	33	1.49E-04
S	34	1.47E-03
S	36	1.81E-07
Cl	35	9.29E-05
Cl	37	1.10E-05
Ar	36	4.30E-03
Ar	38	6.37E-04
Ar	40	4.80E-09
K	39	3.42E-05
K	41	1.73E-06
Ca	40	3.52E-03
Ca	42	1.39E-05
Ca	43	2.64E-08
Ca	44	2.58E-06
Ca	46	6.67E-10
Ca	48	9.58E-11
Sc	45	5.35E-08
Ti	46	6.32E-06
Ti	47	2.00E-07
Ti	48	8.79E-05
Ti	49	8.07E-06
Ti	50	1.01E-04
V	50	3.00E-08
V	51	9.92E-05
Cr	50	2.02E-04
Cr	52	7.18E-03
Cr	53	1.01E-03
Cr	54	1.24E-03
Mn	55	1.13E-02
Fe	54	8.38E-02
Fe	56	3.82E-01
Fe	57	1.34E-02
Fe	58	5.07E-03
Co	59	7.76E-04
Ni	58	5.91E-02
Ni	60	7.55E-03
Ni	61	6.38E-05
Ni	62	2.41E-03
Ni	64	9.48E-06
Cu	63	2.00E-06
Cu	65	2.34E-07
Zn	64	5.95E-07
Zn	66	7.06E-07
Zn	67	1.10E-09
Zn	68	9.74E-09
Zn	70	2.11E-12
Ga	69	9.94E-12
Ga	71	3.24E-13
Ge	70	2.78E-12
