Element	MassNumber	N100Ldef
He	4	2.41E-04
C	12	2.87E-01
C	13	1.80E-07
N	14	3.52E-05
N	15	5.41E-08
O	16	3.66E-01
O	17	4.97E-06
O	18	8.23E-08
F	19	7.07E-10
Ne	20	1.56E-02
Ne	21	3.95E-06
Ne	22	1.45E-02
Na	23	2.79E-04
Mg	24	1.81E-02
Mg	25	3.60E-04
Mg	26	5.06E-04
Al	27	1.27E-03
Si	28	8.04E-02
Si	29	1.06E-03
Si	30	1.92E-03
P	31	4.49E-04
S	32	2.54E-02
S	33	1.27E-04
S	34	1.32E-03
S	36	1.78E-07
Cl	35	7.83E-05
Cl	37	8.53E-06
Ar	36	3.60E-03
Ar	38	5.22E-04
Ar	40	3.94E-09
K	39	2.48E-05
K	41	1.25E-06
Ca	40	2.96E-03
Ca	42	1.00E-05
Ca	43	1.56E-08
Ca	44	2.07E-06
Ca	46	5.59E-12
Ca	48	1.03E-16
Sc	45	3.50E-08
Ti	46	4.66E-06
Ti	47	1.48E-07
Ti	48	6.93E-05
Ti	49	5.76E-06
Ti	50	5.04E-11
V	50	6.23E-10
V	51	2.79E-05
Cr	50	1.04E-04
Cr	52	2.45E-03
Cr	53	3.95E-04
Cr	54	7.15E-08
Mn	55	5.94E-03
Fe	54	3.40E-02
Fe	56	3.27E-01
Fe	57	1.03E-02
Fe	58	8.57E-08
Co	59	9.01E-05
Ni	58	3.21E-02
Ni	60	4.19E-04
Ni	61	1.55E-05
Ni	62	1.28E-04
Ni	64	4.94E-14
Cu	63	9.51E-08
Cu	65	3.61E-08
Zn	64	5.37E-07
Zn	66	8.67E-07
Zn	67	5.59E-10
Zn	68	3.30E-10
Zn	70	2.71E-25
Ga	69	4.89E-15
Ga	71	9.28E-16
Ge	70	1.08E-15
