Element	MassNumber	N10def
He	4	1.29E-04
C	12	5.99E-02
C	13	4.51E-08
N	14	9.46E-06
N	15	1.45E-08
O	16	8.50E-02
O	17	1.32E-06
O	18	2.12E-08
F	19	1.93E-10
Ne	20	5.09E-03
Ne	21	1.09E-06
Ne	22	2.98E-03
Na	23	8.05E-05
Mg	24	6.09E-03
Mg	25	1.06E-04
Mg	26	1.51E-04
Al	27	4.22E-04
Si	28	3.45E-02
Si	29	3.55E-04
Si	30	6.51E-04
P	31	1.57E-04
S	32	1.16E-02
S	33	5.07E-05
S	34	5.24E-04
S	36	6.04E-08
Cl	35	3.05E-05
Cl	37	3.87E-06
Ar	36	1.73E-03
Ar	38	2.23E-04
Ar	40	1.52E-09
K	39	1.15E-05
K	41	5.93E-07
Ca	40	1.46E-03
Ca	42	4.55E-06
Ca	43	7.83E-09
Ca	44	1.12E-06
Ca	46	2.70E-12
Ca	48	5.09E-15
Sc	45	1.89E-08
Ti	46	2.17E-06
Ti	47	7.51E-08
Ti	48	3.83E-05
Ti	49	3.37E-06
Ti	50	1.30E-07
V	50	1.21E-09
V	51	1.92E-05
Cr	50	7.40E-05
Cr	52	1.58E-03
Cr	53	3.08E-04
Cr	54	4.72E-06
Mn	55	4.61E-03
Fe	54	3.35E-02
Fe	56	1.89E-01
Fe	57	6.88E-03
Fe	58	3.32E-05
Co	59	1.84E-04
Ni	58	2.85E-02
Ni	60	1.57E-03
Ni	61	9.85E-06
Ni	62	9.07E-05
Ni	64	1.94E-08
Cu	63	1.10E-07
Cu	65	1.64E-08
Zn	64	2.80E-07
Zn	66	3.49E-07
Zn	67	2.37E-10
Zn	68	1.86E-10
Zn	70	1.46E-15
Ga	69	1.75E-13
Ga	71	1.78E-15
Ge	70	1.54E-13
