Element	MassNumber	N1600Cdef
He	4	1.79E-04
C	12	3.10E-01
C	13	5.28E-07
N	14	3.79E-05
N	15	5.75E-08
O	16	3.90E-01
O	17	5.70E-06
O	18	8.83E-08
F	19	7.48E-10
Ne	20	1.58E-02
Ne	21	4.18E-06
Ne	22	1.57E-02
Na	23	2.95E-04
Mg	24	1.82E-02
Mg	25	3.75E-04
Mg	26	5.16E-04
Al	27	1.27E-03
Si	28	7.89E-02
Si	29	1.07E-03
Si	30	1.92E-03
P	31	4.52E-04
S	32	2.50E-02
S	33	1.28E-04
S	34	1.30E-03
S	36	1.81E-07
Cl	35	7.95E-05
Cl	37	8.56E-06
Ar	36	3.56E-03
Ar	38	5.16E-04
Ar	40	4.02E-09
K	39	2.49E-05
K	41	1.26E-06
Ca	40	2.96E-03
Ca	42	1.01E-05
Ca	43	1.53E-08
Ca	44	2.15E-06
Ca	46	5.75E-12
Ca	48	1.06E-16
Sc	45	3.71E-08
Ti	46	4.74E-06
Ti	47	1.54E-07
Ti	48	7.49E-05
Ti	49	6.83E-06
Ti	50	5.28E-10
V	50	2.60E-09
V	51	4.35E-05
Cr	50	1.96E-04
Cr	52	3.61E-03
Cr	53	8.22E-04
Cr	54	3.75E-06
Mn	55	1.08E-02
Fe	54	9.15E-02
Fe	56	3.46E-01
Fe	57	1.22E-02
Fe	58	8.43E-06
Co	59	6.05E-04
Ni	58	6.03E-02
Ni	60	6.62E-03
Ni	61	1.54E-05
Ni	62	1.01E-04
Ni	64	2.46E-11
Cu	63	2.21E-07
Cu	65	2.59E-08
Zn	64	6.10E-07
Zn	66	6.10E-07
Zn	67	3.94E-10
Zn	68	2.34E-10
Zn	70	1.17E-21
Ga	69	1.08E-14
Ga	71	6.69E-16
Ge	70	1.33E-13
