Element	MassNumber	N100_Z0.5
C	12	3.10E-03
C	13	8.47E-09
N	14	1.80E-06
N	15	2.07E-09
O	16	9.87E-02
O	17	2.84E-07
O	18	2.23E-09
F	19	2.20E-11
Ne	20	3.60E-03
Ne	21	1.97E-07
Ne	22	1.65E-05
Na	23	2.63E-05
Mg	24	2.02E-02
Mg	25	3.09E-05
Mg	26	4.44E-05
Al	27	5.88E-04
Si	28	2.90E-01
Si	29	7.28E-04
Si	30	1.19E-03
P	31	3.58E-04
S	32	1.12E-01
S	33	2.39E-04
S	34	1.86E-03
S	36	3.86E-08
Cl	35	9.91E-05
Cl	37	2.27E-05
Ar	36	1.85E-02
Ar	38	8.31E-04
Ar	40	4.66E-10
K	39	6.25E-05
K	41	3.85E-06
Ca	40	1.57E-02
Ca	42	1.67E-05
Ca	43	2.35E-08
Ca	44	1.08E-05
Ca	46	2.24E-12
Ca	48	5.04E-15
Sc	45	1.43E-07
Ti	46	9.34E-06
Ti	47	3.37E-07
Ti	48	3.43E-04
Ti	49	2.06E-05
Ti	50	2.52E-07
V	51	3.01E-09
V	51	7.65E-05
Cr	50	2.53E-04
Cr	52	8.97E-03
Cr	53	1.02E-03
Cr	54	1.07E-05
Mn	55	1.11E-02
Fe	54	8.19E-02
Fe	56	6.46E-01
Fe	57	1.66E-02
Fe	58	7.85E-05
Co	59	5.09E-04
Ni	58	5.90E-02
Ni	60	4.87E-03
Ni	61	5.04E-05
Ni	62	3.01E-04
Ni	64	3.72E-08
Cu	63	3.17E-07
Cu	65	9.98E-08
Zn	64	2.22E-06
Zn	66	1.43E-06
Zn	67	7.08E-10
Zn	68	3.70E-10
Zn	70	2.16E-15
Ga	69	3.81E-13
Ga	71	3.06E-15
