Element	MassNumber	N3
C	12	9.90E-03
C	13	6.15E-08
N	14	9.93E-06
N	15	1.22E-08
O	16	4.74E-02
O	17	1.37E-06
O	18	1.33E-08
F	19	1.35E-10
Ne	20	3.37E-03
Ne	21	9.79E-07
Ne	22	3.26E-04
Na	23	6.41E-05
Mg	24	7.13E-03
Mg	25	9.26E-05
Mg	26	1.36E-04
Al	27	3.95E-04
Si	28	8.99E-02
Si	29	4.64E-04
Si	30	1.00E-03
P	31	2.28E-04
S	32	3.70E-02
S	33	1.06E-04
S	34	1.16E-03
S	36	1.35E-07
Cl	35	6.20E-05
Cl	37	9.62E-06
Ar	36	6.36E-03
Ar	38	5.15E-04
Ar	40	2.45E-09
K	39	2.98E-05
K	41	1.65E-06
Ca	40	5.74E-03
Ca	42	1.11E-05
Ca	43	1.93E-08
Ca	44	4.40E-06
Ca	46	1.99E-11
Ca	48	3.88E-15
Sc	45	6.53E-08
Ti	46	5.72E-06
Ti	47	2.28E-07
Ti	48	1.41E-04
Ti	49	1.07E-05
Ti	50	5.52E-08
V	51	1.21E-09
V	51	4.14E-05
Cr	50	1.39E-04
Cr	52	4.06E-03
Cr	53	5.27E-04
Cr	54	2.06E-06
Mn	55	6.93E-03
Fe	54	3.07E-02
Fe	56	1.04E-00
Fe	57	3.05E-02
Fe	58	1.41E-05
Co	59	4.97E-04
Ni	58	6.78E-02
Ni	60	2.63E-03
Ni	61	9.36E-05
Ni	62	7.31E-04
Ni	64	8.11E-09
Cu	63	4.94E-07
Cu	65	1.15E-07
Zn	64	1.83E-06
Zn	66	2.70E-06
Zn	67	1.53E-09
Zn	68	9.38E-10
Zn	70	6.43E-16
Ga	69	8.72E-14
Ga	71	2.25E-15
