Element	MassNumber	N300C
C	12	8.86E-03
C	13	4.95E-08
N	14	9.16E-06
N	15	1.14E-08
O	16	1.21E-01
O	17	1.22E-06
O	18	1.25E-08
F	19	1.36E-10
Ne	20	6.76E-03
Ne	21	1.08E-06
Ne	22	2.11E-04
Na	23	8.53E-05
Mg	24	1.97E-02
Mg	25	1.33E-04
Mg	26	2.01E-04
Al	27	9.68E-04
Si	28	3.19E-01
Si	29	1.29E-03
Si	30	2.87E-03
P	31	6.85E-04
S	32	1.27E-01
S	33	3.65E-04
S	34	4.22E-03
S	36	3.23E-07
Cl	35	2.00E-04
Cl	37	3.63E-05
Ar	36	2.08E-02
Ar	38	1.96E-03
Ar	40	6.29E-09
K	39	1.10E-04
K	41	6.21E-06
Ca	40	1.78E-02
Ca	42	4.22E-05
Ca	43	6.03E-08
Ca	44	1.19E-05
Ca	46	5.65E-11
Ca	48	8.89E-14
Sc	45	2.20E-07
Ti	46	2.17E-05
Ti	47	7.44E-07
Ti	48	3.78E-04
Ti	49	3.05E-05
Ti	50	1.25E-06
V	51	6.72E-09
V	51	1.20E-04
Cr	50	5.05E-04
Cr	52	9.85E-03
Cr	53	1.36E-03
Cr	54	3.24E-05
Mn	55	1.35E-02
Fe	54	1.03E-01
Fe	56	5.33E-01
Fe	57	1.56E-02
Fe	58	2.13E-04
Co	59	5.03E-04
Ni	58	6.26E-02
Ni	60	4.57E-03
Ni	61	2.56E-05
Ni	62	3.01E-04
Ni	64	1.63E-07
Cu	63	3.23E-07
Cu	65	4.13E-08
Zn	64	6.42E-07
Zn	66	7.64E-07
Zn	67	4.91E-10
Zn	68	5.91E-10
Zn	70	1.48E-14
Ga	69	8.44E-13
Ga	71	9.47E-15
