Element	MassNumber	N1def	N3def	N5def	N10def	N20def	N40def	N100Ldef	N100def	N100Hdef	N150def	N200def	N300Cdef	N1600def	N1600Cdef
He	4	5.18E-05	7.82E-05	1.10E-04	1.29E-04	1.62E-04	2.02E-04	2.41E-04	2.15E-04	1.90E-04	2.43E-04	1.92E-04	1.95E-04	1.76E-04	1.79E-04
C	12	1.15E-02	2.38E-02	4.31E-02	5.99E-02	1.26E-01	2.17E-01	2.87E-01	2.47E-01	1.84E-01	2.60E-01	2.71E-01	2.86E-01	2.89E-01	3.10E-01
C	13	8.75E-09	2.48E-08	3.06E-08	4.51E-08	3.47E-07	1.73E-06	1.80E-07	2.16E-06	7.26E-07	2.39E-06	1.00E-06	1.58E-06	1.11E-06	5.28E-07
N	14	1.63E-06	5.15E-06	6.37E-06	9.46E-06	3.31E-05	6.09E-05	3.52E-05	7.33E-05	6.49E-05	7.04E-05	5.35E-05	7.61E-05	4.90E-05	3.79E-05
N	15	2.31E-09	7.82E-09	9.52E-09	1.45E-08	6.25E-08	1.34E-07	5.41E-08	1.47E-07	1.55E-07	1.30E-07	8.89E-08	1.37E-07	7.68E-08	5.75E-08
O	16	1.57E-02	3.57E-02	5.99E-02	8.50E-02	1.89E-01	3.03E-01	3.66E-01	3.34E-01	3.07E-01	3.54E-01	3.53E-01	3.81E-01	3.66E-01	3.90E-01
O	17	2.39E-07	7.19E-07	9.03E-07	1.32E-06	4.35E-06	7.64E-06	4.97E-06	9.24E-06	8.33E-06	9.64E-06	7.82E-06	1.07E-05	8.02E-06	5.70E-06
O	18	3.15E-09	1.14E-08	1.35E-08	2.12E-08	1.22E-07	3.05E-07	8.23E-08	3.54E-07	3.28E-07	2.88E-07	1.78E-07	2.99E-07	1.40E-07	8.83E-08
F	19	2.81E-11	9.97E-11	1.23E-10	1.93E-10	1.07E-09	2.72E-09	7.07E-10	2.84E-09	3.16E-09	2.30E-09	1.37E-09	2.31E-09	1.08E-09	7.48E-10
Ne	20	7.62E-04	2.38E-03	3.05E-03	5.09E-03	1.95E-02	3.10E-02	1.56E-02	2.67E-02	6.26E-02	2.60E-02	1.85E-02	2.52E-02	1.61E-02	1.58E-02
Ne	21	1.73E-07	5.66E-07	7.16E-07	1.09E-06	4.99E-06	1.08E-05	3.95E-06	1.23E-05	1.20E-05	1.06E-05	6.89E-06	1.08E-05	5.64E-06	4.18E-06
Ne	22	5.75E-04	1.17E-03	2.15E-03	2.98E-03	6.01E-03	1.03E-02	1.45E-02	1.17E-02	8.47E-03	1.25E-02	1.34E-02	1.39E-02	1.45E-02	1.57E-02
Na	23	1.27E-05	4.00E-05	5.06E-05	8.05E-05	3.63E-04	7.58E-04	2.79E-04	7.69E-04	1.06E-03	6.78E-04	4.40E-04	6.75E-04	3.78E-04	2.95E-04
Mg	24	9.79E-04	2.98E-03	3.94E-03	6.09E-03	1.63E-02	2.10E-02	1.81E-02	2.06E-02	3.23E-02	2.27E-02	1.92E-02	2.27E-02	1.76E-02	1.82E-02
Mg	25	1.69E-05	5.32E-05	6.80E-05	1.06E-04	4.26E-04	8.06E-04	3.60E-04	8.28E-04	1.14E-03	7.50E-04	5.17E-04	7.63E-04	4.45E-04	3.75E-04
