Element	MassNumber	50	70
O	16	1.8	2.47
O	18	4.61E-03	4.51E-03
Ne	20	2.12E-01	2.69E-01
Ne	21	1.08E-03	1.39E-03
Ne	22	1.83E-02	1.99E-02
Na	23	6.51E-03	8.56E-03
Mg	24	8.83E-02	1.12E-01
Mg	25	1.44E-02	1.74E-02
Mg	26	2.01E-02	2.92E-02
Al	27	1.48E-02	1.95E-02
Si	28	1.05E-01	1.29E-01
Si	29	8.99E-03	1.25E-02
S	30	8.05E-03	1.12E-02
P	31	1.21E-03	1.98E-03
S	32	3.84E-02	4.54E-02
S	33	1.78E-04	2.11E-04
S	34	2.62E-03	3.25E-03
Cl	35	1.01E-04	1.53E-04
Cl	37	1.88E-05	1.53E-04
Ar	36	6.62E-03	7.67E-03
Ar	38	1.37E-03	1.63E-03
K	39	6.23E-05	7.67E-05
K	41	5.07E-06	7.67E-05
Ca	40	5.77E-03	6.54E-03
Ca	44	5.53E-05	6.14E-05
Ti	46	7.48E-06	1.94E-04
Ti	47	2.11E-06	1.94E-04
Ti	48	1.16E-04	1.94E-04
Ti	49	5.98E-06	1.94E-04
Ti	50	3.81E-10	1.94E-04
Cr	50	4.64E-05	1.17E-03
Cr	52	1.15E-03	1.17E-03
Cr	53	1.19E-04	1.22E-04
Cr	54	2.33E-08	1.22E-04
Mn	55	3.86E-04	3.93E-04
Fe	54	3.62E-03	3.77E-03
Fe	56	8.44E-02	8.40E-02
Fe	57	2.72E-03	2.75E-03
Co	59	7.27E-05	7.43E-05
Ni	58	3.63E-03	3.78E-03
Ni	60	1.75E-03	1.73E-03
Ni	62	5.09E-04	5.24E-04
