Element	MassNumber	N300Cdef
He	4	1.95E-04
C	12	2.86E-01
C	13	1.58E-06
N	14	7.61E-05
N	15	1.37E-07
O	16	3.81E-01
O	17	1.07E-05
O	18	2.99E-07
F	19	2.31E-09
Ne	20	2.52E-02
Ne	21	1.08E-05
Ne	22	1.39E-02
Na	23	6.75E-04
Mg	24	2.27E-02
Mg	25	7.63E-04
Mg	26	9.23E-04
Al	27	1.85E-03
Si	28	9.62E-02
Si	29	1.33E-03
Si	30	2.28E-03
P	31	5.48E-04
S	32	3.02E-02
S	33	1.54E-04
S	34	1.58E-03
S	36	2.01E-07
Cl	35	9.48E-05
Cl	37	1.08E-05
Ar	36	4.24E-03
Ar	38	6.48E-04
Ar	40	4.62E-09
K	39	3.17E-05
K	41	1.61E-06
Ca	40	3.45E-03
Ca	42	1.30E-05
Ca	43	2.04E-08
Ca	44	2.46E-06
Ca	46	1.06E-11
Ca	48	8.17E-14
Sc	45	4.60E-08
Ti	46	5.96E-06
Ti	47	1.88E-07
Ti	48	8.41E-05
Ti	49	7.48E-06
Ti	50	1.23E-06
V	50	4.22E-09
V	51	4.44E-05
Cr	50	1.87E-04
Cr	52	3.72E-03
Cr	53	7.15E-04
Cr	54	3.18E-05
Mn	55	9.90E-03
Fe	54	8.03E-02
Fe	56	3.55E-01
Fe	57	1.26E-02
Fe	58	2.11E-04
Co	59	4.72E-04
Ni	58	5.85E-02
Ni	60	4.42E-03
Ni	61	2.05E-05
Ni	62	2.61E-04
Ni	64	1.60E-07
Cu	63	2.91E-07
Cu	65	3.36E-08
Zn	64	5.16E-07
Zn	66	5.81E-07
Zn	67	3.91E-10
Zn	68	5.15E-10
Zn	70	1.37E-14
Ga	69	7.92E-13
Ga	71	8.67E-15
Ge	70	4.94E-13
