Element	MassNumber	N5def
He	4	1.10E-04
C	12	4.31E-02
C	13	3.06E-08
N	14	6.37E-06
N	15	9.52E-09
O	16	5.99E-02
O	17	9.03E-07
O	18	1.35E-08
F	19	1.23E-10
Ne	20	3.05E-03
Ne	21	7.16E-07
Ne	22	2.15E-03
Na	23	5.06E-05
Mg	24	3.94E-03
Mg	25	6.80E-05
Mg	26	9.62E-05
Al	27	2.61E-04
Si	28	2.48E-02
Si	29	2.34E-04
Si	30	4.33E-04
P	31	1.03E-04
S	32	8.59E-03
S	33	3.52E-05
S	34	3.68E-04
S	36	4.14E-08
Cl	35	2.08E-05
Cl	37	2.78E-06
Ar	36	1.32E-03
Ar	38	1.59E-04
Ar	40	1.02E-09
K	39	8.21E-06
K	41	4.31E-07
Ca	40	1.14E-03
Ca	42	3.25E-06
Ca	43	5.36E-09
Ca	44	8.98E-07
Ca	46	1.97E-12
Ca	48	5.29E-15
Sc	45	1.40E-08
Ti	46	1.57E-06
Ti	47	5.66E-08
Ti	48	3.09E-05
Ti	49	2.68E-06
Ti	50	1.24E-07
V	50	9.42E-10
V	51	1.50E-05
Cr	50	5.40E-05
Cr	52	1.28E-03
Cr	53	2.40E-04
Cr	54	4.18E-06
Mn	55	3.67E-03
Fe	54	2.50E-02
Fe	56	1.62E-01
Fe	57	5.77E-03
Fe	58	3.01E-05
Co	59	1.31E-04
Ni	58	2.22E-02
Ni	60	1.10E-03
Ni	61	8.49E-06
Ni	62	7.99E-05
Ni	64	1.82E-08
Cu	63	8.84E-08
Cu	65	1.52E-08
Zn	64	2.45E-07
Zn	66	3.20E-07
Zn	67	2.18E-10
Zn	68	1.68E-10
Zn	70	1.39E-15
Ga	69	1.57E-13
Ga	71	1.63E-15
Ge	70	1.25E-13
