Element	MassNumber	N100_Z0.1
C	12	3.15E-03
C	13	1.91E-09
N	14	4.71E-07
N	15	2.98E-09
O	16	9.64E-02
O	17	9.32E-08
O	18	1.21E-09
F	19	1.48E-11
Ne	20	3.69E-03
Ne	21	4.47E-08
Ne	22	2.30E-06
Na	23	1.96E-05
Mg	24	2.69E-02
Mg	25	1.06E-05
Mg	26	7.36E-06
Al	27	2.68E-04
Si	28	2.94E-01
Si	29	4.30E-04
Si	30	1.44E-04
P	31	1.05E-04
S	32	1.12E-01
S	33	1.04E-04
S	34	2.60E-04
S	36	1.64E-09
Cl	35	2.64E-05
Cl	37	9.14E-06
Ar	36	1.92E-02
Ar	38	1.19E-04
Ar	40	9.87E-12
K	39	1.89E-05
K	41	1.42E-06
Ca	40	1.66E-02
Ca	42	2.08E-06
Ca	43	6.22E-09
Ca	44	1.18E-05
Ca	46	5.88E-13
Ca	48	4.85E-15
Sc	45	7.69E-08
Ti	46	1.37E-06
Ti	47	9.30E-08
Ti	48	3.73E-04
Ti	49	1.27E-05
Ti	50	2.47E-07
V	51	2.30E-09
V	51	3.99E-05
Cr	50	1.11E-04
Cr	52	9.44E-03
Cr	53	7.61E-04
Cr	54	1.05E-05
Mn	55	8.73E-03
Fe	54	6.87E-02
Fe	56	6.66E-01
Fe	57	1.41E-02
Fe	58	7.72E-05
Co	59	4.40E-04
Ni	58	5.09E-02
Ni	60	5.39E-03
Ni	61	4.62E-05
Ni	62	1.54E-04
Ni	64	3.65E-08
Cu	63	3.27E-06
Cu	65	1.26E-07
Zn	64	1.73E-05
Zn	66	6.29E-07
Zn	67	2.47E-10
Zn	68	1.71E-10
Zn	70	2.10E-15
Ga	69	3.73E-13
Ga	71	2.69E-15
