Element	MassNumber	N100H
C	12	3.87E-03
C	13	2.28E-08
N	14	4.25E-06
N	15	5.24E-09
O	16	7.30E-02
O	17	5.61E-07
O	18	5.59E-09
F	19	6.32E-11
Ne	20	3.66E-03
Ne	21	5.20E-07
Ne	22	7.62E-05
Na	23	4.25E-05
Mg	24	1.15E-02
Mg	25	6.86E-05
Mg	26	1.04E-04
Al	27	5.47E-04
Si	28	2.12E-01
Si	29	7.73E-04
Si	30	1.72E-03
P	31	4.20E-04
S	32	8.55E-02
S	33	2.37E-04
S	34	2.74E-03
S	36	1.89E-07
Cl	35	1.27E-04
Cl	37	2.44E-05
Ar	36	1.43E-02
Ar	38	1.29E-03
Ar	40	3.81E-09
K	39	7.40E-05
K	41	4.22E-06
Ca	40	1.24E-02
Ca	42	2.80E-05
Ca	43	4.37E-08
Ca	44	8.92E-06
Ca	46	7.13E-10
Ca	48	9.97E-11
Sc	45	1.56E-07
Ti	46	1.46E-05
Ti	47	5.44E-07
Ti	48	2.87E-04
Ti	49	2.35E-05
Ti	50	1.02E-04
V	51	3.20E-08
V	51	1.51E-04
Cr	50	3.95E-04
Cr	52	1.16E-02
Cr	53	1.46E-03
Cr	54	1.25E-03
Mn	55	1.39E-02
Fe	54	9.80E-02
Fe	56	7.47E-01
Fe	57	2.25E-02
Fe	58	5.09E-03
Co	59	9.96E-04
Ni	58	7.54E-02
Ni	60	8.79E-03
Ni	61	1.20E-04
Ni	62	2.85E-03
Ni	64	9.61E-06
Cu	63	2.32E-06
Cu	65	3.23E-07
Zn	64	1.94E-06
Zn	66	2.74E-06
Zn	67	2.26E-09
Zn	68	1.07E-08
Zn	70	2.23E-12
Ga	69	1.04E-11
Ga	71	3.47E-13
