Element	MassNumber	N100L
C	12	3.85E-03
C	13	2.17E-08
N	14	3.98E-06
N	15	4.66E-09
O	16	1.24E-01
O	17	5.14E-07
O	18	4.61E-09
F	19	5.68E-11
Ne	20	4.33E-03
Ne	21	5.17E-07
Ne	22	5.51E-05
Na	23	4.68E-05
Mg	24	1.83E-02
Mg	25	8.02E-05
Mg	26	1.19E-04
Al	27	8.32E-04
Si	28	3.55E-01
Si	29	1.25E-03
Si	30	2.86E-03
P	31	7.09E-04
S	32	1.38E-01
S	33	4.21E-04
S	34	5.02E-03
S	36	3.05E-07
Cl	35	2.27E-04
Cl	37	4.49E-05
Ar	36	2.17E-02
Ar	38	2.48E-03
Ar	40	6.60E-09
K	39	1.39E-04
K	41	7.87E-06
Ca	40	1.75E-02
Ca	42	5.44E-05
Ca	43	7.44E-08
Ca	44	1.11E-05
Ca	46	6.06E-11
Ca	48	3.04E-15
Sc	45	2.51E-07
Ti	46	2.75E-05
Ti	47	8.51E-07
Ti	48	3.36E-04
Ti	49	2.76E-05
Ti	50	6.88E-10
V	51	3.84E-09
V	51	1.01E-04
Cr	50	4.63E-04
Cr	52	8.02E-03
Cr	53	9.98E-04
Cr	54	1.11E-05
Mn	55	1.33E-02
Fe	54	5.70E-02
Fe	56	5.33E-01
Fe	57	1.43E-02
Fe	58	1.27E-07
Co	59	1.48E-04
Ni	58	3.81E-02
Ni	60	7.64E-04
Ni	61	3.09E-05
Ni	62	2.46E-04
Ni	64	5.26E-14
Cu	63	1.72E-07
Cu	65	6.04E-08
Zn	64	9.19E-07
Zn	66	1.44E-06
Zn	67	8.79E-10
Zn	68	5.26E-10
Zn	70	5.97E-24
Ga	69	6.71E-15
Ga	71	1.22E-15
