Element	MassNumber	N150
C	12	1.72E-02
C	13	1.00E-07
N	14	1.84E-05
N	15	2.29E-08
O	16	1.24E-01
O	17	2.48E-06
O	18	2.52E-08
F	19	2.64E-10
Ne	20	8.72E-03
Ne	21	1.98E-06
Ne	22	4.83E-04
Na	23	1.38E-04
Mg	24	1.93E-02
Mg	25	2.02E-04
Mg	26	3.07E-04
Al	27	1.04E-03
Si	28	2.71E-01
Si	29	1.30E-03
Si	30	2.77E-03
P	31	6.59E-04
S	32	1.07E-01
S	33	3.27E-04
S	34	3.68E-03
S	36	3.59E-07
Cl	35	1.89E-04
Cl	37	3.14E-05
Ar	36	1.76E-02
Ar	38	1.69E-03
Ar	40	6.64E-09
K	39	9.53E-05
K	41	5.36E-06
Ca	40	1.50E-02
Ca	42	3.63E-05
Ca	43	5.57E-08
Ca	44	1.04E-05
Ca	46	5.50E-11
Ca	48	6.17E-15
Sc	45	1.92E-07
Ti	46	1.86E-05
Ti	47	6.53E-07
Ti	48	3.31E-04
Ti	49	2.69E-05
Ti	50	1.61E-07
V	51	5.07E-09
V	51	1.09E-04
Cr	50	4.47E-04
Cr	52	8.90E-03
Cr	53	1.29E-03
Cr	54	8.55E-06
Mn	55	1.39E-02
Fe	54	1.04E-01
Fe	56	5.84E-01
Fe	57	1.79E-02
Fe	58	6.05E-05
Co	59	5.23E-04
Ni	58	7.01E-02
Ni	60	4.56E-03
Ni	61	3.51E-05
Ni	62	2.94E-04
Ni	64	2.44E-08
Cu	63	3.20E-07
Cu	65	6.14E-08
Zn	64	1.06E-06
Zn	66	1.39E-06
Zn	67	8.61E-10
Zn	68	5.68E-10
Zn	70	1.25E-15
Ga	69	3.27E-13
Ga	71	3.15E-15
