Element	MassNumber	CDD2
C	12	5.08E-03
C	13	4.16E-07
N	14	9.03E-05
N	15	2.47E-07
O	16	5.83E-02
O	17	1.01E-06
O	18	1.92E-07
F	19	4.24E-10
Ne	20	6.05E-04
Ne	21	1.99E-06
Ne	22	2.11E-04
Na	23	3.50E-05
Mg	24	4.20E-03
Mg	25	3.25E-05
Mg	26	2.97E-05
Al	27	2.35E-04
Si	28	1.98E-01
Si	29	3.22E-04
Si	30	6.14E-04
P	31	1.52E-04
S	32	1.17E-01
S	33	1.79E-04
S	34	1.90E-03
S	36	1.25E-07
Cl	35	6.56E-05
Cl	37	2.11E-05
Ar	36	2.34E-02
Ar	38	9.26E-04
Ar	40	4.82E-09
K	39	5.34E-05
K	41	4.25E-06
Ca	40	2.38E-02
Ca	42	2.36E-05
Ca	43	2.96E-07
Ca	44	3.62E-05
Ca	46	1.18E-09
Ca	48	4.93E-10
Sc	45	2.02E-07
Ti	46	1.05E-05
Ti	47	1.95E-06
Ti	48	6.20E-04
Ti	49	4.17E-05
Ti	50	7.28E-05
V	50	1.20E-08
V	51	1.09E-04
Cr	50	3.36E-04
Cr	52	1.40E-02
Cr	53	1.33E-03
Cr	54	8.02E-04
Mn	55	6.77E-03
Fe	54	5.64E-02
Fe	56	7.57E-01
Fe	57	1.80E-02
Fe	58	3.06E-03
Co	59	6.35E-04
Ni	58	4.47E-02
Ni	60	1.21E-02
Ni	61	4.27E-04
Ni	62	4.60E-03
Ni	64	9.29E-06
Cu	63	3.97E-06
Cu	65	2.05E-06
Zn	64	3.96E-05
Zn	66	6.11E-05
Zn	67	4.01E-08
Zn	68	3.03E-08
