Element	MassNumber	W7
C	12	4.83E-02
C	13	1.40E-06
N	14	1.16E-06
N	15	1.32E-09
O	16	1.43E-01
O	17	3.54E-08
O	18	8.25E-10
F	19	5.67E-10
Ne	20	2.02E-03
Ne	21	8.46E-06
Ne	22	2.49E-03
Na	23	6.32E-05
Mg	24	8.50E-03
Mg	25	4.05E-05
Mg	26	3.18E-05
Al	27	9.86E-04
Si	28	1.54E-01
Si	29	9.08E-04
Si	30	1.69E-03
P	31	3.57E-04
S	32	8.46E-02
S	33	4.24E-04
S	34	1.98E-03
S	36	4.18E-07
Cl	35	1.37E-04
Cl	37	3.67E-05
Ar	36	1.47E-02
Ar	38	9.50E-04
Ar	40	1.87E-08
K	39	7.23E-05
K	41	6.11E-06
Ca	40	1.19E-02
Ca	42	2.82E-05
Ca	43	9.64E-08
Ca	44	8.02E-06
Ca	46	4.16E-09
Ca	48	2.60E-09
Sc	45	2.21E-07
Ti	46	1.33E-05
Ti	47	5.10E-07
Ti	48	2.05E-04
Ti	49	1.71E-05
Ti	50	1.07E-04
V	50	1.55E-08
V	51	7.49E-05
Cr	50	2.73E-04
Cr	52	6.36E-03
Cr	53	9.22E-04
Cr	54	9.24E-04
Mn	55	8.87E-03
Fe	54	9.55E-02
Fe	56	6.26E-01
Fe	57	2.45E-02
Fe	58	3.03E-03
Co	59	1.04E-03
Ni	58	1.10E-01
Ni	60	1.24E-02
Ni	61	2.35E-04
Ni	62	3.07E-03
Ni	64	1.70E-05
Cu	63	2.32E-06
Cu	65	6.84E-07
Zn	64	1.06E-05
Zn	66	1.76E-05
Zn	67	1.58E-08
Zn	68	1.74E-08
