Element	MassNumber	WDD1
C	12	5.42E-03
C	13	5.06E-07
N	14	2.84E-04
N	15	9.99E-07
O	16	8.82E-02
O	17	3.77E-06
O	18	6.88E-07
F	19	1.70E-09
Ne	20	1.29E-03
Ne	21	1.16E-05
Ne	22	1.51E-04
Na	23	8.77E-05
Mg	24	7.55E-03
Mg	25	8.23E-05
Mg	26	6.25E-05
Al	27	4.38E-04
Si	28	2.72E-01
Si	29	5.47E-04
Si	30	1.03E-03
P	31	2.38E-04
S	32	1.60E-01
S	33	2.74E-04
S	34	2.76E-03
S	36	2.23E-07
Cl	35	9.28E-05
Cl	37	2.94E-05
Ar	36	3.11E-02
Ar	38	1.23E-03
Ar	40	7.81E-09
K	39	6.76E-05
K	41	5.43E-06
Ca	40	3.10E-02
Ca	42	3.09E-05
Ca	43	6.60E-08
Ca	44	1.44E-05
Ca	46	5.01E-09
Ca	48	1.63E-06
Sc	45	2.49E-07
Ti	46	1.34E-05
Ti	47	5.65E-07
Ti	48	7.10E-04
Ti	49	5.27E-05
Ti	50	3.52E-04
V	50	9.74E-09
V	51	1.33E-04
Cr	50	4.44E-04
Cr	52	1.68E-02
Cr	53	1.66E-03
Cr	54	1.60E-03
Mn	55	8.48E-03
Fe	54	7.08E-02
Fe	56	5.87E-01
Fe	57	1.08E-02
Fe	58	3.23E-03
Co	59	3.95E-04
Ni	58	3.14E-02
Ni	60	5.08E-03
Ni	61	7.00E-05
Ni	62	1.37E-03
Ni	64	2.32E-04
Cu	63	2.77E-06
Cu	65	7.08E-07
Zn	64	3.71E-06
Zn	66	2.16E-05
Zn	67	6.35E-07
Zn	68	7.44E-08
