Element	MassNumber	13	15	18	20	25	30	40
He	3	1.96E-04	2.18E-04	2.30E-04	2.38E-04	2.21E-04	2.12E-04	5.05E-05
He	4	4.30E+00	5.25E+00	6.11E+00	6.76E+00	7.24E+00	8.36E+00	4.71E+00
Li	6	1.32E-17	3.17E-17	2.78E-19	1.09E-22	9.53E-23	5.90E-23	3.47E-22
Li	7	5.63E-11	7.09E-13	2.80E-13	4.32E-12	6.93E-13	4.33E-13	5.72E-13
Be	9	4.61E-19	1.55E-18	7.56E-18	4.72E-23	2.23E-20	4.92E-23	7.03E-23
B	10	1.12E-10	1.36E-10	1.42E-10	1.47E-10	1.51E-10	1.54E-10	6.96E-14
B	11	4.28E-10	6.02E-10	6.41E-10	6.54E-10	6.77E-10	6.92E-10	3.22E-14
C	12	1.07E-01	6.51E-02	1.36E-01	2.45E-01	1.52E-01	2.50E-01	5.96E-01
C	13	1.00E-03	1.15E-03	1.38E-03	1.45E-03	6.66E-02	1.92E-03	4.31E-04
N	14	4.80E-02	6.15E-02	6.61E-02	7.19E-02	8.43E-02	1.02E-01	5.81E-02
N	15	4.09E-05	5.97E-05	1.53E-05	2.24E-04	4.63E-02	6.55E-06	5.72E-06
O	16	2.18E-01	1.62E-01	7.70E-01	1.05E+00	2.35E+00	3.22E+00	7.33E+00
O	17	8.68E-04	8.12E-04	8.76E-04	9.51E-04	1.34E-03	1.69E-03	9.72E-04
O	18	3.50E-03	2.54E-03	1.17E-02	5.22E-03	8.43E-02	6.18E-03	1.23E-02
F	19	1.42E-05	1.64E-05	4.47E-06	6.05E-05	1.19E-04	7.81E-06	5.26E-06
Ne	20	3.47E-02	3.39E-02	1.49E-01	3.94E-01	8.53E-01	9.37E-01	2.21E+00
Ne	21	2.25E-04	1.30E-04	2.02E-04	1.81E-03	1.59E-03	2.97E-03	4.97E-03
Ne	22	4.52E-03	1.72E-03	6.63E-03	9.04E-03	1.68E-02	1.86E-02	1.09E-02
Na	23	9.25E-04	1.06E-03	2.93E-03	1.68E-02	1.86E-02	3.47E-02	7.76E-02
Mg	24	2.52E-02	3.79E-02	1.03E-01	7.16E-02	2.18E-01	1.88E-01	3.10E-01
Mg	25	2.56E-03	1.46E-03	7.08E-03	1.44E-02	3.13E-02	3.12E-02	7.28E-02
Mg	26	2.16E-03	1.72E-03	5.86E-03	8.86E-03	2.72E-02	2.79E-02	7.33E-02
Al	26	2.13E-05	7.63E-06	3.69E-05	1.50E-05	8.67E-05	3.90E-05	6.64E-05
Al	27	1.50E-03	2.44E-03	1.00E-02	9.90E-03	2.70E-02	3.41E-02	8.30E-02
Si	28	7.48E-02	8.38E-02	1.01E-01	6.32E-02	1.28E-01	2.40E-01	2.41E-01
Si	29	1.49E-03	2.20E-03	6.96E-03	2.04E-03	7.06E-03	7.38E-03	9.99E-03
Si	30	1.55E-03	2.75E-03	6.82E-03	2.44E-03	6.19E-03	1.06E-02	9.76E-03
P	31	3.75E-04	7.06E-04	1.74E-03	6.58E-04	1.50E-03	2.56E-03	3.52E-03
S	32	3.73E-02	3.47E-02	3.69E-02	2.81E-02	4.99E-02	1.08E-01	1.09E-01
S	33	2.00E-04	2.43E-04	3.51E-04	2.26E-04	3.25E-04	4.81E-04	4.81E-04
S	34	1.64E-03	1.53E-03	2.19E-03	1.70E-03	2.26E-03	3.76E-03	3.42E-03
S	36	5.37E-06	2.54E-06	1.20E-05	9.19E-06	2.42E-05	5.09E-05	9.40E-05
Cl	35	1.15E-04	1.37E-04	1.75E-04	1.25E-04	1.62E-04	2.33E-04	2.76E-04
Cl	37	3.03E-05	2.49E-05	5.65E-05	8.42E-05	1.70E-04	2.63E-04	5.64E-04
Ar	36	6.29E-03	4.90E-03	5.48E-03	4.66E-03	7.92E-03	1.81E-02	1.81E-02
Ar	38	6.86E-04	6.51E-04	7.83E-04	6.74E-04	8.98E-04	1.64E-03	1.65E-03
Ar	40	8.96E-07	1.05E-06	1.30E-06	1.41E-06	2.68E-06	7.41E-06	5.67E-06
K	39	5.02E-05	7.00E-05	7.67E-05	7.39E-05	8.83E-05	1.29E-04	1.14E-04
K	40	1.28E-07	6.43E-08	1.38E-07	9.30E-08	2.00E-07	2.94E-07	4.05E-07
K	41	4.68E-06	5.85E-06	7.74E-06	9.03E-06	1.39E-05	1.97E-05	4.52E-05
Ca	40	4.92E-03	4.01E-03	4.54E-03	3.74E-03	6.55E-03	1.57E-02	1.56E-02
Ca	42	1.39E-05	1.75E-05	2.07E-05	1.74E-05	2.47E-05	4.15E-05	4.48E-05
Ca	43	1.36E-06	1.50E-06	2.12E-06	2.52E-06	3.42E-06	2.97E-06	4.93E-06
Ca	44	3.51E-05	3.55E-05	5.45E-05	5.79E-05	5.11E-05	4.04E-05	4.67E-05
Ca	46	2.12E-07	3.33E-07	7.83E-07	6.15E-07	1.18E-06	1.18E-06	2.86E-06
Ca	48	1.58E-06	1.86E-06	2.73E-06	2.35E-06	2.73E-06	1.42E-05	2.43E-06
Sc	45	7.29E-07	9.30E-07	1.26E-06	1.30E-06	2.80E-06	2.57E-06	6.15E-06
Ti	46	6.01E-06	8.64E-06	9.50E-06	8.53E-06	1.13E-05	1.86E-05	2.11E-05
Ti	47	4.41E-06	3.44E-06	5.34E-06	6.55E-06	5.59E-06	8.81E-06	6.75E-06
Ti	48	8.13E-05	1.07E-04	1.32E-04	1.15E-04	1.53E-04	2.53E-04	2.44E-04
Ti	49	4.74E-06	5.07E-06	6.11E-06	6.37E-06	1.10E-05	1.92E-05	2.42E-05
Ti	50	2.33E-06	2.41E-06	3.91E-06	5.82E-06	1.23E-05	9.91E-06	3.81E-05
V	50	2.03E-08	2.66E-08	6.60E-08	3.89E-08	9.60E-08	2.49E-07	1.87E-07
V	51	1.18E-05	9.95E-06	1.14E-05	1.33E-05	1.44E-05	2.50E-05	2.24E-05
Cr	50	2.23E-05	3.95E-05	3.68E-05	3.10E-05	5.22E-05	7.71E-05	9.21E-05
Cr	52	6.48E-04	1.27E-03	1.28E-03	1.07E-03	2.04E-03	3.76E-03	3.78E-03
Cr	53	6.24E-05	9.27E-05	9.62E-05	8.28E-05	1.41E-04	2.74E-04	2.49E-04
Cr	54	6.55E-06	6.80E-06	1.52E-05	1.66E-05	2.77E-05	5.12E-05	5.66E-05
Mn	55	2.81E-04	3.80E-04	4.05E-04	3.60E-04	5.50E-04	1.04E-03	8.28E-04
Fe	54	1.92E-03	2.46E-03	2.49E-03	2.22E-03	3.84E-03	6.87E-03	6.42E-03
Fe	56	8.32E-02	8.51E-02	8.72E-02	8.87E-02	9.01E-02	9.18E-02	8.08E-02
Fe	57	2.22E-03	1.99E-03	2.67E-03	2.34E-03	1.87E-03	2.82E-03	9.75E-04
