MassNumber,Element,13,15,18,20,25,30,40
3,He,4.12E-05,4.09E-05,3.33E-05,4.76E-05,2.11E-04,2.06E-04,2.56E-05
4,He,4.01E+00,4.40E+00,5.42E+00,5.94E+00,8.03E+00,9.52E+00,1.19E+01
6,Li,3.65E-23,1.11E-22,4.37E-23,3.65E-21,2.69E-21,1.13E-22,7.54E-22
7,Li,2.17E-10,2.94E-10,7.34E-11,2.79E-10,5.68E-09,2.36E-08,3.76E-11
9,Be,1.77E-20,3.22E-22,1.05E-22,4.49E-23,1.24E-17,1.26E-20,5.33E-20
10,B,2.92E-21,8.30E-20,3.92E-21,1.57E-19,2.87E-18,5.18E-20,2.37E-17
11,B,2.94E-16,3.30E-16,7.14E-16,6.54E-17,9.46E-16,3.27E-15,3.07E-14
12,C,7.41E-02,1.72E-01,2.18E-01,2.11E-01,2.94E-01,3.37E-01,4.29E-01
13,C,8.39E-08,6.21E-08,2.63E-09,1.14E-08,1.47E-08,1.02E-08,3.21E-09
14,N,1.83E-03,1.86E-03,1.89E-04,5.42E-05,5.91E-04,1.64E-06,5.89E-07
15,N,6.38E-08,6.86E-08,2.40E-08,1.13E-08,1.17E-07,1.67E-08,6.29E-07
16,O,4.50E-01,7.73E-01,1.38E+00,2.11E+00,2.79E+00,4.81E+00,8.38E+00
17,O,1.69E-06,1.57E-06,2.79E-07,6.83E-08,1.49E-06,1.88E-08,1.42E-09
18,O,5.79E-08,4.89E-06,4.63E-06,2.52E-08,6.75E-07,2.06E-09,2.13E-07
19,F,1.17E-10,1.97E-09,7.91E-09,1.62E-09,1.71E-09,8.94E-10,2.38E-10
20,Ne,1.53E-02,3.27E-01,4.94E-01,9.12E-01,5.33E-01,8.51E-01,3.07E-01
21,Ne,5.42E-07,3.76E-05,9.12E-05,4.30E-05,1.33E-05,5.51E-05,1.08E-05
22,Ne,1.98E-07,1.61E-05,2.57E-05,6.92E-05,2.02E-05,8.57E-05,6.75E-06
23,Na,1.44E-04,2.45E-03,2.08E-03,2.90E-03,1.03E-03,1.42E-03,1.84E-04
24,Mg,8.62E-02,6.82E-02,1.57E-01,1.50E-01,1.20E-01,2.26E-01,4.78E-01
25,Mg,1.56E-04,2.98E-04,5.83E-04,1.16E-04,3.97E-05,2.44E-04,4.28E-04
26,Mg,7.07E-05,3.98E-04,8.73E-04,2.38E-04,5.01E-05,1.29E-04,1.25E-04
