MassNumber,Element,13,15,18,20,25,30,40
3,He,1.70E-04,1.59E-04,2.24E-04,1.75E-04,1.85E-04,1.84E-04,1.80E-04
4,He,4.04E+00,4.95E+00,6.06E+00,7.03E+00,8.48E+00,7.92E+00,8.12E+00
6,Li,3.44E-17,6.50E-17,1.50E-16,2.89E-16,5.19E-23,2.23E-16,2.14E-20
7,Li,3.15E-15,7.20E-14,5.04E-13,1.56E-12,1.02E-13,8.01E-13,4.71E-12
9,Be,1.07E-16,1.08E-16,1.58E-16,5.51E-16,4.88E-24,3.78E-16,6.00E-22
10,B,2.55E-11,2.55E-11,1.55E-10,2.91E-11,3.09E-11,3.04E-11,6.57E-12
11,B,1.15E-10,1.15E-10,6.97E-10,4.60E-08,1.39E-10,1.37E-10,2.80E-11
12,C,8.78E-02,8.81E-02,1.05E-01,9.74E-02,1.32E-01,1.82E-01,4.58E-01
13,C,1.88E-04,2.09E-04,6.03E-02,2.92E-04,3.82E-04,3.39E-04,3.68E-04
14,N,9.08E-03,1.29E-02,7.27E-02,1.84E-02,3.15E-02,2.00E-02,2.60E-02
15,N,6.84E-06,8.70E-06,5.35E-02,2.78E-05,9.53E-05,4.98E-06,5.01E-06
16,O,3.85E-01,2.92E-01,5.21E-01,9.94E-01,2.20E+00,4.79E+00,7.96E+00
17,O,8.75E-05,8.66E-05,1.11E-03,1.04E-04,1.12E-04,1.20E-04,1.59E-04
18,O,1.95E-03,9.68E-04,5.20E-02,1.28E-03,8.48E-04,4.35E-05,8.37E-04
19,F,1.98E-06,2.13E-06,1.21E-05,5.36E-06,8.50E-05,1.16E-05,1.04E-06
20,Ne,1.32E-01,1.24E-01,2.00E-01,2.77E-01,8.20E-01,9.37E-01,1.88E+00
21,Ne,1.85E-04,1.43E-04,1.00E-03,2.58E-04,3.83E-04,7.21E-04,1.17E-03
22,Ne,1.05E-03,7.54E-04,4.17E-03,2.16E-03,4.57E-03,6.18E-03,2.87E-03
23,Na,1.50E-03,8.19E-04,6.63E-03,4.07E-03,6.25E-03,1.41E-02,2.61E-02
24,Mg,4.38E-02,7.46E-02,6.93E-02,9.65E-02,2.33E-01,2.18E-01,3.79E-01
25,Mg,1.38E-03,1.95E-03,8.19E-03,2.20E-03,6.04E-03,7.09E-03,1.20E-02
26,Mg,1.24E-03,1.93E-03,6.44E-03,1.88E-03,6.71E-03,7.07E-03,1.33E-02
26,Al,2.68E-06,4.79E-06,2.26E-05,8.65E-06,3.69E-06,1.18E-05,2.23E-05
27,Al,2.21E-03,3.31E-03,6.29E-03,5.13E-03,1.12E-02,1.69E-02,3.04E-02
